Unnamed: 0,code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name,Unnamed: 0.1,DauVao,Phan Giai,LED,SanXuat,Trong luong,Thoi gian dung sac,pin,img
0,220042001752,laptop,23990000, Laptop , acer ,ryzen 5,5600h,3.3ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card rời,gtx 1650 4gb,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,3.0," laptop  acer  ryzen 5 5600h 3.3ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời gtx 1650 4gb 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ nhựa",,,,,,,,,
1,220042001666,laptop,27990000, Laptop , lenovo ,i7,1165g7,2.8ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,1 x usb 3.2,1 x usb 3.2 always on,vỏ kim loại,Dài 320.6 mm - Rộng 208.18 mm - Dày 14.9 mm - Nặng 1.36 kg,Dài 320.6 mm - Rộng 208.18 mm - Dày 14.9 mm - Nặng 1.36 kg,3.8, laptop  lenovo  i7 1165g7 2.8ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 1 x usb 3.2 1 x usb 3.2 always on vỏ kim loại,,,,,,,,,
2,220042001608,laptop,22990000, Laptop , msi ,i7,10750h,2.6ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,gtx 1650 maxq 4gb,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ nhựa  nắp lưng bằng kim loại,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,3.8," laptop  msi  i7 10750h 2.6ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời gtx 1650 maxq 4gb 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ nhựa  nắp lưng bằng kim loại",,,,,,,,,
3,220042001181,laptop,11990000, Laptop , acer ,i3,1005g1,1.2ghz,4 gb,256 gb ssd nvme pcie,card tích hợp,intel uhd,15.6,full hd 1920 x 1080,2 x usb 2.0,hdmi,dài 363.4 mm  rộng 247.5 mm  dày 19.9 mm  nặng 1.7 kg,2020,2020,3.8, laptop  acer  i3 1005g1 1.2ghz 4 gb 256 gb ssd nvme pcie card tích hợp intel uhd 15.6 full hd 1920 x 1080 2 x usb 2.0 hdmi dài 363.4 mm  rộng 247.5 mm  dày 19.9 mm  nặng 1.7 kg,,,,,,,,,
4,220042001754,laptop,9990000, Laptop , acer ,celeron,n4020,1.1ghz,4 gb,128 gb ssd m2 pcie,card tích hợp,intel uhd 600,11.6,hd 1366 x 768,2 x usb 3.2,hdmi,dài 295 mm  rộng 215 mm  dày 20.99 mm  nặng 1.4 kg,2021,2021,0.0, laptop  acer  celeron n4020 1.1ghz 4 gb 128 gb ssd m2 pcie card tích hợp intel uhd 600 11.6 hd 1366 x 768 2 x usb 3.2 hdmi dài 295 mm  rộng 215 mm  dày 20.99 mm  nặng 1.4 kg,,,,,,,,,
5,220042001724,laptop,16990000, Laptop , msi ,ryzen 5,5500u,2.1ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card tích hợp,radeon vega 7,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,5.0," laptop  msi  ryzen 5 5500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp radeon vega 7 14 full hd 1920 x 1080 2 x usb 3.2 hdmi nắp lưng và chiếu nghỉ tay bằng kim loại",,,,,,,,,
6,220042001736,laptop,15290000, Laptop , dell ,i3,1115g4,3ghz,4 gb,"256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb 2280  1tb 2230",card tích hợp,intel uhd,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.7 kg,2021,2021,3.0," laptop  dell  i3 1115g4 3ghz 4 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb 2280  1tb 2230 card tích hợp intel uhd 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.7 kg",,,,,,,,,
7,220042001761,laptop,12690000, Laptop , hp ,i3,10110u,2.1ghz,4 gb,256 gb ssd nvme pcie,card tích hợp,intel uhd,15.6,full hd 1920 x 1080,2x superspeed usb a,hdmi,dài 358.5 mm  rộng 242 mm  dày 18 mm  nặng 1.74 kg,2021,2021,4.0, laptop  hp  i3 10110u 2.1ghz 4 gb 256 gb ssd nvme pcie card tích hợp intel uhd 15.6 full hd 1920 x 1080 2x superspeed usb a hdmi dài 358.5 mm  rộng 242 mm  dày 18 mm  nặng 1.74 kg,,,,,,,,,
8,220042001779,laptop,19090000, Laptop , asus ,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,14,full hd 1920 x 1080,1 x usb 3.2,2 x usb 2.0,dài 324 mm  rộng 215 mm  dày 17.9 mm  nặng 1.4 kg,2021,2021,5.0," laptop  asus  i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 1 x usb 3.2 2 x usb 2.0 dài 324 mm  rộng 215 mm  dày 17.9 mm  nặng 1.4 kg",,,,,,,,,
9,220042001705,laptop,19990000, Laptop , asus ,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080 oled,1 x usb 3.2,2 x usb 2.0,dài 359 mm  rộng 235 mm  dày 17.9 mm  nặng 1.8 kg,2021,2021,4.8," laptop  asus  i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 oled 1 x usb 3.2 2 x usb 2.0 dài 359 mm  rộng 235 mm  dày 17.9 mm  nặng 1.8 kg",,,,,,,,,
