f_score,precision,recall,query,result,ground_truth
1.0,1.0,1.0,Chuwi ,"['220042001857', '220042001859', '220042001858']","['220042001857', '220042001859', '220042001858']"
0.5,0.3333333333333333,1.0,Chuwi i5 ,"['220042001857', '220042001859', '220042001858']",['220042001857']
0.5,0.3333333333333333,1.0,Chuwi i5 16 GB ,"['220042001857', '220042001859', '220042001858']",['220042001857']
0.5,0.3333333333333333,1.0,Chuwi Celeron ,"['220042001754', '220042001857', '220042001859', '220042001766', '220042001717', '220042001858']","['220042001859', '220042001858']"
0.5,0.3333333333333333,1.0,Chuwi Celeron 8 GB ,"['220042001754', '220042001857', '220042001859', '220042001766', '220042001717', '220042001858']","['220042001859', '220042001858']"
0.5,0.3333333333333333,1.0,Chuwi Celeron 8 GB ,"['220042001754', '220042001857', '220042001859', '220042001766', '220042001717', '220042001858']","['220042001859', '220042001858']"
1.0,1.0,1.0,LG ,"['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']","['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']"
1.0,1.0,1.0,LG i7 ,"['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']","['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']"
1.0,1.0,1.0,LG i7 16 GB ,"['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']","['220042001398', '220042001399', '220042001400', '220042001401', '220042001402']"
0.9090909090909091,1.0,0.8333333333333334,MSI ,"['220042001608', '220042001724', '220042001446', '220042001725', '220042001673', '220042001561', '220042001716', '220042001715', '220042001445', '220042001656', '220042001853', '220042001562', '220042001829', '220042001671', '220042001803', '220042001762', '220042001678', '220042001802', '220042001726', '220042001594']","['220042001608', '220042001724', '220042001446', '220042001725', '220042001673', '220042001542', '220042001560', '220042001561', '220042001716', '220042001670', '220042001715', '220042001445', '220042001656', '220042001853', '220042001562', '220042001708', '220042001829', '220042001671', '220042001803', '220042001762', '220042001678', '220042001802', '220042001726', '220042001594']"
0.2666666666666667,0.15384615384615385,1.0,MSI Ryzen 7 ,"['220042001724', '220042001725', '220042001764', '220042001892', '220042001763', '220042001843', '220042001776', '220042001845', '220042001809', '220042001708', '220042001798', '220042001847', '220042001726']","['220042001708', '220042001726']"
0.23529411764705882,0.13333333333333333,1.0,MSI Ryzen 7 8 GB ,"['220042001724', '220042001725', '220042001764', '220042001892', '220042001763', '220042001843', '220042001776', '220042001845', '220042001809', '220042001708', '220042001798', '220042001847', '220042001780', '220042001781', '220042001726']","['220042001708', '220042001726']"
0.23529411764705882,0.13333333333333333,1.0,MSI Ryzen 7 8 GB ,"['220042001724', '220042001725', '220042001764', '220042001892', '220042001763', '220042001843', '220042001776', '220042001845', '220042001809', '220042001708', '220042001798', '220042001847', '220042001780', '220042001781', '220042001726']","['220042001708', '220042001726']"
0.5,0.3333333333333333,1.0,MSI i5 ,"['220042001608', '220042001446', '220042001725', '220042001673', '220042001561', '220042001656', '220042001562', '220042001829', '220042001671', '220042001803', '220042001762', '220042001678', '220042001802', '220042001726', '220042001594']","['220042001562', '220042001829', '220042001671', '220042001802', '220042001594']"
